,CC1 FP Equity_DX_SI_QTY,CC1 FP Equity_DX_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CC1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CC1 FP Equity_DX_SI_MV,CC1 FP Equity_DX_DSS,CC1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY,CC1 FP Equity_DX_BROKER_SI_QTY,CC1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CC1 FP Equity_DX_BROKER_SI_MV_INC_x,CC1 FP Equity_DX_SUPPLY_SI_MV_NEW,CC1 FP Equity_DX_BROKER_SI_QTY_ADD,CC1 FP Equity_DX_SUPPLY_SI_MV_DEC,CC1 FP Equity_DX_BROKER_SI_QTY_INC,CC1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CC1 FP Equity_DX_BROKER_SI_MV_INC_y,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CC1 FP Equity_DX_BROKER_SI_MV_ADD,CC1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CC1 FP Equity_DX_BROKER_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV,CC1 FP Equity_DX_BROKER_SI_MV_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV_RMV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CC1 FP Equity_DX_UTILIZATION_QUANTITY,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CC1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CC1 FP Equity_DX_BROKER_SI_CON_RATIO,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CC1 FP Equity_DX_DEMAND_SUPPLY_RATIO,CC1 FP Equity_PX_LAST
2011-10-25,5100.0,814419.0,2.35,1.41,0.81,,814419.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,159.69
2011-10-26,5100.0,833085.0,2.5,1.41,0.84,,833085.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,163.35
2011-10-27,7100.0,1204870.0,3.48,1.96,1.21,,1204870.0,0.0,7100.0,0.0,,,0.36,,,,2000.0,,,0.36,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,36.62,0.5358,63.38,0.0,169.7
2011-10-28,7100.0,1223188.0,3.34,1.96,1.22,,1223188.0,0.0,7100.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,36.62,0.5358,63.38,0.0,172.28
2011-10-31,9800.0,1643754.0,4.56,2.7,1.63,,1643754.0,0.0,9800.0,0.0,,,0.41,,,,2700.0,,,0.41,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.53,0.6102,73.47,0.0,167.73
2011-11-01,9800.0,1622880.0,4.52,2.7,1.62,,1622880.0,0.0,9800.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.78,0.6078,73.22,0.0,165.6
2011-11-02,9800.0,1679916.0,4.4,2.7,1.68,,1679916.0,0.0,9800.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.53,0.6102,73.47,0.0,171.42
2011-11-03,9800.0,1721076.0,4.4,2.7,1.72,,1721076.0,0.0,9800.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.53,0.6102,73.47,0.0,175.62
2011-11-04,9800.0,1693636.0,4.59,2.7,1.72,,1693636.0,0.0,9800.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.19,0.6133,73.81,0.0,172.82
2011-11-07,5100.0,897141.0,2.42,1.41,0.9,,897141.0,0.0,5100.0,0.0,,,,,,,,,,,,,,4700.0,0.0,0.83,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,175.91
