,SELER FP Equity_DX_SI_QTY,SELER FP Equity_DX_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SELER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SELER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SELER FP Equity_DX_SI_MV,SELER FP Equity_DX_DSS,SELER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SUPPLY_SI_QTY,SELER FP Equity_DX_BROKER_SI_QTY,SELER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SELER FP Equity_DX_BROKER_SI_MV_NEW_x,SELER FP Equity_DX_BROKER_SI_QTY_ADD,SELER FP Equity_DX_BROKER_SI_QTY_NEW,SELER FP Equity_DX_BROKER_SI_MV_NEW_y,SELER FP Equity_DX_BROKER_SI_MV_ADD,SELER FP Equity_DX_SUPPLY_SI_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SELER FP Equity_DX_UTILIZATION_QUANTITY,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SELER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_MV,SELER FP Equity_DX_BROKER_SI_CON_RATIO,SELER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SELER FP Equity_DX_DEMAND_SUPPLY_RATIO,SELER FP Equity_PX_LAST
2012-10-01,30294.0,1075115.93,4.58,7.41,2.07,1.27,1.0,1075115.93,0.0,30294.0,0.0,,30294.0,,,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.59
2012-10-02,30294.0,1085228.29,4.58,7.41,2.07,1.27,1.0,1085228.29,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.0
2012-10-03,30294.0,1085228.29,4.58,7.43,2.07,1.27,1.0,1085228.29,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.0
2012-10-04,30294.0,1087694.71,4.58,7.41,2.07,1.27,1.0,1087694.71,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.1
2012-10-05,30294.0,1087694.71,4.58,7.41,2.07,1.27,1.0,1087694.71,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.1
2012-10-08,30294.0,1087694.71,4.58,7.41,2.07,1.27,1.0,1087694.71,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.1
2012-10-09,30294.0,1091394.36,4.58,7.42,2.07,1.27,1.0,1091394.36,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.25
2012-10-10,30294.0,1090654.43,4.58,7.42,2.07,1.27,1.0,1090654.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.22
2012-10-11,30294.0,1090654.43,4.58,7.38,2.07,1.27,1.0,1090654.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.22
2012-10-12,30294.0,1090654.43,4.58,7.38,2.07,1.27,1.0,1090654.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.22
